cuenta_nombre,tipo_eeff_propuesto,signo_propuesto,tipo_eeff_correcto,signo_correcto,notas
Provisión Servicios DCV,otro,1,,,
Provisión Valorizadores,otro,1,,,
Proyectos en desarrollo,otro,1,,,
Préstamos,pasivo,-1,,,
Préstamos (+),pasivo,-1,,,
PÉRDIDA DEVENGADA ACUMULADA,gasto_no_operacional,-1,,,
PÉRDIDA DEVENGADA ACUMULADA (-),gasto_no_operacional,-1,,,
PÉRDIDA NO REALIZADA DE INVERSIONES,gasto_no_operacional,-1,,,
PÉRDIDA NO REALIZADA DE INVERSIONES (-),gasto_no_operacional,-1,,,
Pérdida devengada acumulada (menos),gasto_no_operacional,-1,,,
Pérdida devengada acumulada inicial,gasto_no_operacional,-1,,,
Pérdida devengada acumulada inicial (-),gasto_no_operacional,-1,,,
Pérdida devengada acumulada inicial (menos),gasto_no_operacional,-1,,,
Pérdida devengada acumulada realizada en ejercicio,gasto_no_operacional,-1,,,
Pérdida devengada acumulada realizada en ejercicio (-),gasto_no_operacional,-1,,,
Pérdida devengada acumulada realizada en ejercicio (menos),gasto_no_operacional,-1,,,
Pérdida no realizada de inversiones,gasto_no_operacional,-1,,,
Pérdida no realizada de inversiones (-),gasto_no_operacional,-1,,,
Póliza Seguro de,otro,1,,,
RESULTADO DEL EJERCICIO,patrimonio,1,,,
RESULTADO DEL EJERCICIO (+ o -),patrimonio,1,,,
RESULTADO DEL EJERCICIO (+ Ó -),patrimonio,1,,,
RESULTADO NETO DEL EJERCICIO,patrimonio,1,,,
RESULTADO NETO DEL EJERCICIO (+ Ó -),patrimonio,1,,,
Reajustes,otro,1,,,
Reajustes Devengados,otro,1,,,
Realizados,otro,1,,,
Remuneraciones sociedad administradora,gasto_operacional,-1,,,
Remuneraciones sociedad administradora (+),gasto_operacional,-1,,,
Remuneración Comité Vigilancia,otro,1,,,
Remuneración Comité de Vigilancia,otro,1,,,
Remuneración Sociedad Administradora,gasto_operacional,-1,,,
Remuneración de Administración AGF,gasto_operacional,-1,,,
Remuneración del Comité de Vigilancia,otro,1,,,
Remuneración del Comité de Vigilancia (-),otro,1,,,
Remuneración del comité de vigilancia,otro,1,,,
Remuneración del comité de vigilancia (-),otro,1,,,
Remuneración fija por pagar a Sociedad Administradora,gasto_operacional,-1,,,
Remuneración por Pagar AGF,otro,1,,,
Remuneración por pagar a Sociedad Administradora,gasto_operacional,-1,,,
Remuneración sociedad administradora,gasto_operacional,-1,,,
Remuneración variable por pagar a Sociedad Administradora,gasto_operacional,-1,,,
Repartos de dividendos,ingreso_operacional,1,,,
Repartos de dividendos (-),ingreso_operacional,1,,,
Repartos de patrimonio,patrimonio,1,,,
Repartos de patrimonio (-),patrimonio,1,,,
Resultado Realizado,patrimonio,1,,,
Resultado Realizado Enajenació,patrimonio,1,,,
Resultado Realizado Enajenación,patrimonio,1,,,
Resultado Realizados Intereses,patrimonio,1,,,
Resultado de inversiones valorizadas por el método de la participación,activo,1,,,
Resultado de inversiones valorizadas por el método de participación,activo,1,,,
Resultado del Ejercicio,patrimonio,1,,,
Resultado del Ejercicio (+ ó -),patrimonio,1,,,
Resultado del Ejercicio M$,patrimonio,1,,,
Resultado del ejercicio,patrimonio,1,,,
Resultado del ejercicio (+ ó -),patrimonio,1,,,
Resultado ejercicio,patrimonio,1,,,
Resultado en inversiones valorizadas por el método de la participación,gasto_no_operacional,-1,,,
Resultado en inversiones valorizadas por el método de la participación (+ o -),gasto_no_operacional,-1,,,
Resultado en inversiones valorizadas por el método de la participación (+ ó -),gasto_no_operacional,-1,,,
Resultado en venta de instrumentos financieros,gasto_no_operacional,-1,,,
Resultado en venta de instrumentos financieros (+ o -),gasto_no_operacional,-1,,,
Resultado en venta de instrumentos financieros (+ ó -),gasto_no_operacional,-1,,,
Resultado por operaciones con instrumentos derivados,patrimonio,1,,,
Resultado por operaciones con instrumentos derivados (+),patrimonio,1,,,
Resultado por operaciones con instrumentos derivados (-),patrimonio,1,,,
Resultado por venta de inmuebles,activo,1,,,
Resultado por venta de inmuebles (+),activo,1,,,
Resultado realizado enajenación,patrimonio,1,,,
Resultados Acumulados,patrimonio,1,,,
Resultados Acumulados (+ ó -),patrimonio,1,,,
Resultados Acumulados M$,patrimonio,1,,,
Resultados acumulados,patrimonio,1,,,
Resultados acumulados (+ ó -),patrimonio,1,,,
Resultados en venta de instrumentos,patrimonio,1,,,
Resultados integrales del ejercicio,patrimonio,1,,,
Resultados integrales del ejercicio (+ ó -),patrimonio,1,,,
Resultados no realizados,patrimonio,1,,,
Resultados por operaciones con instrumentos derivados,patrimonio,1,,,
Resultados por operaciones con instrumentos derivados (+ ó -),patrimonio,1,,,
Resultados por venta de inmuebles,activo,1,,,
Resultados realizados,patrimonio,1,,,
SALDO FINAL DE EFECTIVO Y EFECTIVO EQUIVALENTE,activo,1,,,
SALDO FINAL DE EFECTIVO Y EFECTIVO EQUIVALENTE (+ Ó -),activo,1,,,
SUBTOTAL,otro,1,,,
SUBTOTAL (+ Ó -),otro,1,,,
Saldo Final Efectivo y Equivalentes al Efectivo,activo,1,,,
Saldo Final efectivo y equivalentes al efectivo,activo,1,,,
Saldo Inicial Efectivo y Equivalentes al Efectivo,activo,1,,,
Saldo Inicial al 1 de enero de 2017,otro,1,,,
Saldo Inicial al 1 de enero de 2018,otro,1,,,
Saldo Inicial al 1 de enero de 2019,otro,1,,,
Saldo Inicial al 1 de enero de 2020,otro,1,,,
Saldo Inicial efectivo y equivalentes al efectivo,activo,1,,,
Saldo al 30 de junio de 2017,otro,1,,,
Saldo al 30 de junio de 2018,otro,1,,,
Saldo al 30 de junio de 2019,otro,1,,,
Saldo al 30 de septiembre de 2017,otro,1,,,
Saldo al 30 de septiembre de 2018,otro,1,,,
Saldo al 30 de septiembre de 2019,otro,1,,,
Saldo al 31 de diciembre de 2017,otro,1,,,
Saldo al 31 de diciembre de 2018,otro,1,,,
Saldo al 31 de diciembre de 2019,otro,1,,,
Saldo al 31 de diciembre de 2020,otro,1,,,
Saldo al 31 de marzo de 2018,otro,1,,,
Saldo al 31 de marzo de 2019,otro,1,,,
Saldo al 31 de marzo de 2020,otro,1,,,
Saldo de cierre,otro,1,,,
Saldo inicial,otro,1,,,
Saldo inicial al 01 de enero,otro,1,,,
Saldo inicial al 1 de enero,otro,1,,,
Saldo inicial de efectivo y efectivo equivalente,activo,1,,,
Saldo inicial de efectivo y efectivo equivalente (+),activo,1,,,
Saldo inicio,otro,1,,,
Saldo inicio (+ ó -),otro,1,,,
Saldo neto de diferencias de cambio (menos),otro,1,,,
Saldo neto deudor de diferencias de cambio,otro,1,,,
Saldo neto deudor de diferencias de cambio (-),otro,1,,,
Saldo neto deudor de diferencias de cambio (menos),otro,1,,,
Sanción de censura a Toesca S.A. Administradora General de Fondos,gasto_operacional,-1,,,
Serie A,otro,1,,,
Serie C,otro,1,,,
Serie I,otro,1,,,
Servicio Market Makers,otro,1,,,
Servicios Market Maker,otro,1,,,
Servicios de B.O.,otro,1,,,
Subtotal,otro,1,,,
TOTAL,otro,1,,,
TOTAL ACTIVO,otro,1,,,
TOTAL ACTIVO (+),otro,1,,,
TOTAL ACTIVO CORRIENTE,activo,1,,,
TOTAL ACTIVO CORRIENTE (+),activo,1,,,
TOTAL ACTIVO NO CORRIENTE,activo,1,,,
TOTAL ACTIVO NO CORRIENTE (+),activo,1,,,
TOTAL ACTIVOS,activo,1,,,
TOTAL ACTIVOS CORRIENTES,activo,1,,,
TOTAL ACTIVOS NO CORRIENTE,activo,1,,,
TOTAL DE OTROS RESULTADOS INTEGRALES,patrimonio,1,,,
TOTAL DE OTROS RESULTADOS INTEGRALES (+ Ó -),patrimonio,1,,,
TOTAL GASTOS DE OPERACION,gasto_operacional,-1,,,
TOTAL GASTOS DE OPERACION (-),gasto_operacional,-1,,,
TOTAL GASTOS DE OPERACIÓN,gasto_operacional,-1,,,
TOTAL GASTOS DE OPERACIÓN (-),gasto_operacional,-1,,,
TOTAL INGRESOS/(PÉRDIDAS) NETOS DE LA OPERACION,ingreso_operacional,1,,,
TOTAL INGRESOS/(PÉRDIDAS) NETOS DE LA OPERACION (+ o -),ingreso_operacional,1,,,
TOTAL INGRESOS/(PÉRDIDAS) NETOS DE LA OPERACIÓN,ingreso_operacional,1,,,
TOTAL INGRESOS/(PÉRDIDAS) NETOS DE LA OPERACIÓN (+ Ó -),ingreso_operacional,1,,,
TOTAL INGRESOS/(PÉRDIDAS) NETOS DE OPERACIÓN,ingreso_operacional,1,,,
TOTAL OPERACION (+ o -),otro,1,,,
TOTAL OTRAS RESERVAS,patrimonio,1,,,
TOTAL OTROS RESULTADOS INTEGRALES,patrimonio,1,,,
TOTAL OTROS RESULTADOS INTEGRALES (+ o -),patrimonio,1,,,
TOTAL PASIVO,pasivo,-1,,,
TOTAL PASIVO (+),pasivo,-1,,,
TOTAL PASIVO CORRIENTE,pasivo,-1,,,
TOTAL PASIVO CORRIENTE (+),pasivo,-1,,,
TOTAL PASIVO NO CORRIENTE,pasivo,-1,,,
TOTAL PASIVO NO CORRIENTE (+),pasivo,-1,,,
TOTAL PASIVOS CORRIENTES,pasivo,-1,,,
TOTAL PASIVOS NO CORRIENTES,pasivo,-1,,,
TOTAL PASIVOS Y PATRIMONIO,pasivo,-1,,,
TOTAL PATRIMONIO NETO,patrimonio,1,,,
TOTAL PATRIMONIO NETO (+ Ó -),patrimonio,1,,,
TOTAL RESULTADO INTEGRAL,patrimonio,1,,,
TOTAL RESULTADO INTEGRAL (+ o-),patrimonio,1,,,
TOTAL RESULTADO INTEGRAL (+ Ó -),patrimonio,1,,,
"TOTAL, M$",otro,1,,,
"TOTAL, OTRAS RESERVAS M$",patrimonio,1,,,
TOTALES,otro,1,,,
TOTALES (+ Ó -),otro,1,,,
Toesca Rentas Apoquindo,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias Apoquindo,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias Apoquindo - Activos corrientes,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias Apoquindo - Activos no corrientes,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias Apoquindo - Pasivos corrientes,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias Apoquindo - Pasivos no corrientes,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias Apoquindo - Patrimonio,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias Apoquindo - Resultado del ejercicio,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias Apoquindo - Total activos,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias Apoquindo - Total gastos,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias Apoquindo - Total ingresos,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias Apoquindo - Total pasivos,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias PT,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias PT (*),ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias PT - Activos corrientes,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias PT - Activos no corrientes,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias PT - Pasivos corrientes,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias PT - Pasivos no corrientes,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias PT - Patrimonio,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias PT - Resultado del ejercicio,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias PT - Total activos,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias PT - Total gastos,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias PT - Total ingresos,ingreso_operacional,1,,,
Toesca Rentas Inmobiliarias PT - Total pasivos,ingreso_operacional,1,,,
Total,otro,1,,,
Total (pérdidas) / ganancias,gasto_no_operacional,-1,,,
Total (pérdidas) / ganancias netas,gasto_no_operacional,-1,,,
Total activo,otro,1,,,
Total activo corriente,activo,1,,,
Total activo no corriente,activo,1,,,
Total activos,activo,1,,,
Total activos financieros a costo amortizado,gasto_operacional,-1,,,
Total activos financieros a valor razonable con efectos en resultados,activo,1,,,
Total gastos,gasto_operacional,-1,,,
Total gastos de operación,gasto_operacional,-1,,,
Total ingresos,ingreso_operacional,1,,,
Total ingresos/pérdida de la operación,ingreso_operacional,1,,,
Total ingresos/pérdidas de la operación,ingreso_operacional,1,,,
Total operación,otro,1,,,
Total pasivo corriente,pasivo,-1,,,
Total pasivo no corriente,pasivo,-1,,,
Total pasivo y patrimonio,pasivo,-1,,,
Total pasivo y patrimonio neto,pasivo,-1,,,
Total pasivos,pasivo,-1,,,
Total pasivos corrientes,pasivo,-1,,,
Total pasivos no corrientes,pasivo,-1,,,
Total patrimonio,patrimonio,1,,,
Total patrimonio neto,patrimonio,1,,,
Total resultado integral,patrimonio,1,,,
Totales,otro,1,,,
Totales: M$,otro,1,,,
Títulos de deuda,pasivo,-1,,,
Títulos de deuda de Securitización,pasivo,-1,,,
Títulos de deuda de corto plazo,pasivo,-1,,,
Títulos de deuda de corto plazo registrados,pasivo,-1,,,
Títulos de deuda no registrados,pasivo,-1,,,
Títulos de deuda: Bonos registrados,pasivo,-1,,,
Títulos de deuda: Cartera de créditos y cobranza,pasivo,-1,,,
Títulos de deuda: Depósitos a plazo,pasivo,-1,,,
Títulos de deuda: Letras de créditos de bancos e instituciones financieras,activo,1,,,
Títulos de deuda: M$,pasivo,-1,,,
Títulos de deuda: Otros títulos de deuda,pasivo,-1,,,
Títulos de deuda: Otros títulos de deuda no registrados,pasivo,-1,,,
Títulos de deuda: Títulos de deuda de Securitización,pasivo,-1,,,
Títulos de deuda: Títulos de deuda de corto plazo registrados,pasivo,-1,,,
Títulos de deuda: Títulos emitidos o garantizados por Estado o Bancos Centrales,activo,1,,,
Títulos de renta variable: Acciones de sociedades anónimas abiertas,ingreso_operacional,1,,,
Títulos de renta variable: Certificados de depósitos de valores,ingreso_operacional,1,,,
Títulos de renta variable: Cuotas de Fondos Mutuos,ingreso_operacional,1,,,
Títulos de renta variable: Cuotas de Fondos de Inversión,ingreso_operacional,1,,,
Títulos de renta variable: Derechos preferentes de suscripción de acciones,ingreso_operacional,1,,,
Títulos de renta variable: M$,ingreso_operacional,1,,,
Títulos de renta variable: Otros títulos de renta variable,ingreso_operacional,1,,,
Títulos de renta variable: Títulos que representen productos,ingreso_operacional,1,,,
Títulos emitidos o garantizados por Estado o Bancos,activo,1,,,
Títulos emitidos o garantizados por Estado o Bancos Centrales,activo,1,,,
Títulos emitidos o garantizados por Estados o Bancos Centrales,activo,1,,,
Títulos o garantizados por Estado o Bancos Centrales,activo,1,,,
Títulos que representan productos,otro,1,,,
Títulos que representen productos,otro,1,,,
Títulos que representen productos de renta variable,ingreso_operacional,1,,,
UTILIDAD (PÉRDIDA) NETA REALIZADA DE INVERSIONES,gasto_no_operacional,-1,,,
UTILIDAD (PÉRDIDA) NETA REALIZADA DE INVERSIONES - Dividendos percibidos,ingreso_operacional,1,,,
UTILIDAD (PÉRDIDA) NETA REALIZADA DE INVERSIONES - Intereses percibidos en títulos de deuda,gasto_no_operacional,-1,,,
UTILIDAD (PÉRDIDA) NETA REALIZADA DE INVERSIONES - Otros,gasto_no_operacional,-1,,,
UTILIDAD (PÉRDIDA) REALIZADA NO DISTRIBUIDA,gasto_no_operacional,-1,,,
UTILIDAD (PÉRDIDA) REALIZADA NO DISTRIBUIDA (+ Ó -),gasto_no_operacional,-1,,,
UTILIDAD (PÉRDIDA) REALIZADA NO DISTRIBUIDA(+ Ó -),gasto_no_operacional,-1,,,
UTILIDAD NETA REALIZADA DE INVERSIONES (+ Ó -),activo,1,,,
UTILIDAD NO REALIZADA DE INVERSIONES,activo,1,,,
UTILIDAD NO REALIZADA DE INVERSIONES (+),activo,1,,,
UTILIDAD(PERDIDA) NETA REALIZADA DE INVERSIONES,activo,1,,,
UTILIDAD(PERDIDA) NETA REALIZADA DE INVERSIONES (+ Ó -),activo,1,,,
UTILIDAD(PÉRDIDA) NETA REALIZADA DE INVERSIONES (+ Ó -),gasto_no_operacional,-1,,,
UTILIDAD/(PÉRDIDA) ANTES DE IMPUESTO,gasto_no_operacional,-1,,,
UTILIDAD/(PÉRDIDA) ANTES DE IMPUESTO (+ o -),gasto_no_operacional,-1,,,
UTILIDAD/(PÉRDIDA) ANTES DE IMPUESTO (+ Ó -),gasto_no_operacional,-1,,,
UTILIDAD/(PÉRDIDA) DE LA OPERACION,gasto_no_operacional,-1,,,
UTILIDAD/(PÉRDIDA) DE LA OPERACION (+ o -),gasto_no_operacional,-1,,,
UTILIDAD/(PÉRDIDA) DE LA OPERACIÓN,gasto_no_operacional,-1,,,
UTILIDAD/(PÉRDIDA) DE LA OPERACIÓN (+ Ó -),gasto_no_operacional,-1,,,
Utilidad (pérdida) neta realizada de inversiones,gasto_no_operacional,-1,,,
Utilidad (pérdida) neta realizada de inversiones (+ ó -),gasto_no_operacional,-1,,,
Utilidad (pérdida) realizada no distribuida,gasto_no_operacional,-1,,,
Utilidad (pérdida) realizada no distribuida inicial,gasto_no_operacional,-1,,,
Utilidad de la operación,patrimonio,1,,,
Utilidad del ejercicio,patrimonio,1,,,
Utilidad devengada acumulada realizada en ejercicio,patrimonio,1,,,
Utilidad devengada acumulada realizada en ejercicio (+),patrimonio,1,,,
Utilidad por fluctuación cuotas de fondos mutuos money market,patrimonio,1,,,
Valor Mercado cuota,otro,1,,,
Valor libro cuota,otro,1,,,
Valor libro cuota Serie A,otro,1,,,
Valor libro cuota Serie C,otro,1,,,
Valor libro cuota Serie I,otro,1,,,
Valor libro cuota Serie WM,otro,1,,,
Valorización de Certificados de Depósitos de Valores,otro,1,,,
Valorización de Certificados de Depósitos de Valores (+),otro,1,,,
Valorización de acciones de sociedades anónimas,otro,1,,,
Valorización de acciones de sociedades anónimas (+),otro,1,,,
Valorización de acciones de sociedades anónimas (-),otro,1,,,
Valorización de bienes raíces,otro,1,,,
Valorización de bienes raíces (+),otro,1,,,
Valorización de bienes raíces (-),otro,1,,,
Valorización de certificados de Depósito de Valores,otro,1,,,
Valorización de certificados de Depósito de Valores (-),otro,1,,,
Valorización de cuotas de Fondos de inversión,otro,1,,,
Valorización de cuotas de Fondos mutuos,otro,1,,,
Valorización de cuotas de fondos de inversión,otro,1,,,
Valorización de cuotas de fondos de inversión (+),otro,1,,,
Valorización de cuotas de fondos de inversión (-),otro,1,,,
Valorización de cuotas de fondos mutuos,otro,1,,,
Valorización de cuotas de fondos mutuos (+),otro,1,,,
Valorización de cuotas de fondos mutuos (-),otro,1,,,
Valorización de cuotas o derechos en comunidades sobre bienes muebles,otro,1,,,
Valorización de cuotas o derechos en comunidades sobre bienes muebles (+),otro,1,,,
Valorización de cuotas o derechos en comunidades sobre bienes muebles (-),otro,1,,,
Valorización de títulos de deuda,pasivo,-1,,,
Valorización de títulos de deuda (+),pasivo,-1,,,
Valorización de títulos de deuda (-),pasivo,-1,,,
Variaciones en valor razonable de propiedades de inversión,otro,1,,,
Variaciones en valor razonable de propiedades de inversión (+ o -),otro,1,,,
Variaciones en valor razonable de propiedades de inversión (+ ó -),otro,1,,,
Venta de activos Financieros,activo,1,,,
Venta de activos financieros,activo,1,,,
Venta de activos financieros (+),activo,1,,,
Venta de inmuebles,activo,1,,,
Venta de inmuebles (+),activo,1,,,
Ventas,ingreso_operacional,1,,,
ajustes por conversión (+ o -),otro,1,,,
ajustes provenientes de inversiones valorizadas por el método de la participación (+ o -),activo,1,,,
cambios netos en valor razonable de activos financieros y pasivos financieros a valor razonable con efecto en resultados (+ o -),activo,1,,,
cobertura de flujo de caja (+),activo,1,,,
comisión de administración (-),gasto_operacional,-1,,,
costos de transacción (-),gasto_operacional,-1,,,
costos financieros (-),gasto_operacional,-1,,,
depreciaciones (-),gasto_operacional,-1,,,
diferencias de cambio netas sobre activos financieros a costo amortizado (+ o -),gasto_operacional,-1,,,
diferencias de cambio netas sobre efectivo y efectivo equivalente (+ o -),activo,1,,,
honorarios por custodia y administración (-),gasto_operacional,-1,,,
impuesto a las ganancias por inversiones en el exterior,activo,1,,,
ingreso por arriendo de bienes raíces (+),ingreso_operacional,1,,,
ingresos por dividendos,ingreso_operacional,1,,,
intereses y reajustes,otro,1,,,
otros (+ o -),otro,1,,,
otros ajustes al patrimonio neto (+ o -),patrimonio,1,,,
otros gastos de operación (-),gasto_operacional,-1,,,
remuneración del comité de vigilancia (-),otro,1,,,
resultado del ejercicio (+ o -),patrimonio,1,,,
resultado en inversiones valorizadas por el método de la participación (+ o -),gasto_no_operacional,-1,,,
resultado en venta de instrumentos financieros (+ o -),gasto_no_operacional,-1,,,
resultado por venta de inmuebles (+),activo,1,,,
total gastos de operacion (-),gasto_operacional,-1,,,
total ingresos/(pérdidas) netos de la operacion (+ o -),ingreso_operacional,1,,,
total otros resultados integrales (+ o -),patrimonio,1,,,
total resultado integral (+ o-),patrimonio,1,,,
utilidad/(pérdida) antes de impuesto (+ o -),gasto_no_operacional,-1,,,
utilidad/(pérdida) de la operacion (+ o -),gasto_no_operacional,-1,,,
variaciones en valor razonable de propiedades de inversión (+ o -),otro,1,,,
